CLUES|SUBCLUES|CLAVE AREA|AREA|CLAVE SERVICIO|SERVICIO|UBICACION FISICA|DIAS Y HORAS DE SERVICIO
NTSMP000494|NTSMP000494-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000535|NTSMP000535-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000564|NTSMP000564-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP000605|NTSMP000605-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
NTSMP000605|NTSMP000605-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSMP001182|NTSMP001182-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSSA000013|NTSSA000013-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSSA000660|NTSSA000660-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSSA000800|NTSSA000800-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
NTSSA000800|NTSSA000800-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSSA001594|NTSSA001594-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSSA002166|NTSSA002166-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSSA016060|NTSSA016060-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
NTSSA016072|NTSSA016072-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB000135|OCIMB000135-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB000350|OCIMB000350-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB000386|OCIMB000386-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB000490|OCIMB000490-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
OCIMB000490|OCIMB000490-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB000876|OCIMB000876-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB000881|OCIMB000881-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB001313|OCIMB001313-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB001844|OCIMB001844-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB001931|OCIMB001931-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB002100|OCIMB002100-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB003133|OCIMB003133-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB003401|OCIMB003401-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
OCIMB004912|OCIMB004912-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB006650|OCIMB006650-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB006826|OCIMB006826-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
OCIMB006826|OCIMB006826-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB007012|OCIMB007012-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
OCIMB007572|OCIMB007572-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB007625|OCIMB007625-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB007864|OCIMB007864-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB008190|OCIMB008190-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB008634|OCIMB008634-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMB008815|OCIMB008815-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMO000335|OCIMO000335-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMO000352|OCIMO000352-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
OCIMO000352|OCIMO000352-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMO000475|OCIMO000475-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
