CLUES|DOMINGO|LUNES|MARTES|MIERCOLES|JUEVES|VIERNES|SABADO|HORA INICIO|HORA FIN
ASSMP001421|NO|SI|SI|SI|SI|SI|NO|16:00|21:00
ASSMP001433|NO|SI|SI|SI|SI|SI|SI|15:00|21:00
ASSMP001445|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP001450|NO|SI|SI|SI|SI|SI|NO|10:00|21:00
ASSMP001462|NO|SI|SI|SI|SI|SI|SI|10:00|21:00
ASSMP001474|NO|NO|NO|NO|NO|NO|SI|08:00|13:00
ASSMP001474|NO|SI|SI|SI|SI|SI|NO|08:00|19:00
ASSMP001474|NO|SI|SI|SI|SI|SI|NO|08:00|19:00
ASSMP001474|NO|NO|NO|NO|NO|NO|SI|08:00|13:00
ASSMP001486|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP001491|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSMP001503|NO|SI|SI|SI|SI|SI|SI|07:00|21:30
ASSMP001515|SI|SI|SI|SI|SI|SI|SI|00:00|23:55
ASSMP001520|NO|SI|SI|SI|SI|SI|SI|06:00|22:00
ASSMP001532|NO|SI|SI|SI|SI|SI|SI|08:00|22:00
ASSMP001544|NO|SI|SI|SI|SI|SI|SI|06:00|02:30
ASSMP001556|SI|NO|NO|NO|NO|NO|SI|09:00|13:00
ASSMP001561|SI|NO|NO|NO|NO|NO|SI|09:00|13:00
ASSMP001573|NO|SI|SI|SI|SI|SI|NO|09:00|15:00
ASSMP001585|NO|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP001590|SI|NO|NO|NO|NO|NO|SI|09:00|21:00
ASSMP001602|NO|SI|SI|SI|SI|SI|NO|15:00|21:00
ASSMP001614|NO|SI|SI|SI|SI|SI|NO|07:00|17:00
ASSMP001614|NO|NO|NO|NO|NO|NO|SI|09:00|14:00
ASSMP001626|SI|SI|SI|SI|SI|SI|SI|00:00|23:55
ASSMP001631|NO|SI|SI|SI|SI|SI|NO|07:00|17:00
ASSMP001631|NO|NO|NO|NO|NO|NO|SI|09:00|14:00
ASSMP001643|NO|SI|SI|SI|SI|SI|SI|06:00|23:00
ASSMP001655|NO|SI|SI|SI|SI|SI|SI|09:00|15:00
ASSMP001660|SI|SI|SI|SI|SI|SI|SI|09:00|21:00
ASSMP001672|SI|SI|SI|SI|SI|SI|SI|00:00|23:55
ASSMP001684|NO|SI|SI|SI|SI|SI|NO|07:00|17:00
ASSMP001684|NO|NO|NO|NO|NO|NO|SI|09:00|14:00
ASSMP001696|NO|SI|SI|SI|SI|SI|NO|07:00|17:00
ASSMP001696|NO|NO|NO|NO|NO|NO|SI|09:00|14:00
ASSMP001701|SI|SI|SI|SI|SI|SI|SI|00:00|23:55
ASSMP001713|NO|SI|SI|SI|SI|SI|NO|07:00|17:00
ASSMP001713|NO|NO|NO|NO|NO|NO|SI|09:00|14:00
ASSMP001725|NO|NO|NO|NO|NO|NO|SI|09:00|14:00
ASSMP001725|NO|SI|SI|SI|SI|SI|NO|07:00|17:00
ASSMP001730|NO|NO|NO|NO|NO|NO|SI|09:00|14:00
ASSMP001730|NO|SI|SI|SI|SI|SI|NO|07:00|17:00
ASSMP001742|NO|SI|SI|SI|SI|SI|NO|07:00|17:00
ASSMP001742|NO|NO|NO|NO|NO|NO|SI|09:00|14:00
ASSMP001754|NO|SI|SI|SI|SI|SI|SI|09:00|18:00
ASSSA000013|NO|SI|SI|SI|SI|SI|NO|07:00|21:00
ASSSA000025|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000030|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000030|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000042|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000042|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000054|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000054|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000066|NO|SI|SI|SI|SI|SI|NO|07:30|21:00
ASSSA000071|NO|SI|SI|SI|SI|SI|NO|07:30|15:00
ASSSA000083|NO|SI|SI|SI|SI|SI|NO|07:00|21:00
ASSSA000095|NO|SI|SI|SI|SI|SI|NO|07:30|21:00
ASSSA000100|NO|SI|SI|SI|SI|SI|NO|07:30|21:00
ASSSA000112|NO|SI|SI|SI|SI|SI|NO|07:00|21:00
ASSSA000124|NO|SI|SI|SI|SI|SI|NO|07:00|21:00
ASSSA000136|NO|SI|SI|SI|SI|SI|NO|07:30|15:00
ASSSA000141|NO|SI|SI|SI|SI|SI|NO|07:00|15:00
ASSSA000153|NO|SI|SI|SI|SI|SI|NO|07:00|21:00
ASSSA000165|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000165|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000182|NO|SI|SI|SI|SI|SI|NO|07:30|21:00
ASSSA000194|NO|SI|SI|SI|SI|SI|NO|07:30|15:30
ASSSA000211|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000223|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000235|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000240|NO|SI|SI|SI|SI|SI|NO|07:30|21:00
ASSSA000240|NO|NO|NO|NO|NO|NO|SI|08:00|14:00
ASSSA000252|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000264|NO|SI|SI|SI|SI|SI|NO|07:30|21:00
ASSSA000276|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000293|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000305|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000305|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000310|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000322|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000334|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000346|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000351|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
